"t_stamp","add_feed 1","add_feed 2","cement_flow_return","cli_feed","gyp_feed","hopper_cli_lev","hopper_gyp_lev","hopper_lime_lev","lime_feed","tot_feed","tot_feed sv"
"2017-07-01 11:30:00.000","0.0","0.0","0.0","0.0","0.0","1.5762802362442017","0.0","0.0","0.0","0.2602614462375641","0.0"
"2017-07-01 11:40:00.000","0.0","0.0","0.0","0.0","0.0","1.5753483312563392","0.0","0.0","0.0","0.2772301435470581","0.0"
"2017-07-01 11:50:00.000","0.0","0.0","0.0","0.0","0.0","1.574631919379093","0.0","0.0","0.0","0.27457395195961","0.0"
"2017-07-01 12:00:00.000","0.0","0.0","0.0","0.0","0.0","1.5739155075018467","0.0","0.0","0.0","0.2871665358543396","0.0"
"2017-07-01 12:10:00.000","0.0","0.0","0.0","0.0","0.0","1.5731990956246005","0.0","0.0","0.0","0.25216352939605713","0.0"
"2017-07-01 12:20:00.000","0.0","0.0","0.0","0.0","0.0","1.5724826837473542","0.0","0.0","0.0","0.29167240858078003","0.0"
"2017-07-01 12:30:00.000","0.0","0.0","0.0","0.0","0.0","1.5723873376846313","0.0","0.0","0.0","0.27615419030189514","0.0"
"2017-07-01 12:40:00.000","0.0","0.0","0.0","0.0","0.0","1.5812387231145366","0.0","0.0","0.0","0.29037806391716003","0.0"
"2017-07-01 12:50:00.000","0.0","0.0","0.0","0.0","0.0","1.6249948740005493","0.0","0.0","0.0","315.6393127441406","0.0"
"2017-07-01 13:00:00.000","0.0","0.0","0.0","0.0","0.0","14.558216094970703","0.0","0.0","0.0","273.8988952636719","0.0"
"2017-07-01 13:10:00.000","0.0","0.0","0.0","0.0","0.0","8.104950904846191","0.0","0.0","0.0","284.48138427734375","0.0"
"2017-07-01 13:20:00.000","0.0","0.0","0.0","0.0","0.0","8.483031272888184","0.0","0.0","0.0","284.42059326171875","0.0"
"2017-07-01 13:30:00.000","0.0","0.0","0.0","0.0","0.0","8.81317138671875","0.0","0.0","0.0","320.3412170410156","0.0"
"2017-07-01 13:40:00.000","0.0","0.0","0.0","0.0","0.0","15.59060287475586","0.0","0.0","0.0","302.67010498046875","0.0"
"2017-07-01 13:50:00.000","0.0","0.0","0.0","0.0","0.0","16.696340560913086","0.0","0.0","0.0","287.283935546875","0.0"
"2017-07-01 14:00:00.000","0.0","0.0","0.0","0.0","0.0","15.6199951171875","0.0","0.0","0.0","270.7032470703125","0.0"
"2017-07-01 14:10:00.000","0.0","0.0","0.0","0.0","0.0","14.622426986694336","0.0","0.0","0.0","271.33221435546875","0.0"
"2017-07-01 14:20:00.000","0.0","0.0","0.0","0.0","0.0","12.631771087646484","0.0","0.0","0.0","278.142822265625","0.0"
"2017-07-01 14:30:00.000","0.0","0.0","0.0","0.0","0.0","12.948385238647461","0.0","0.0","0.0","291.79083251953125","0.0"
"2017-07-01 14:40:00.000","0.0","0.0","0.0","0.0","0.0","13.551177978515625","0.0","0.0","0.0","282.99285888671875","0.0"
"2017-07-01 14:50:00.000","0.0","0.0","0.0","0.0","0.0","15.19517707824707","0.0","0.0","0.0","282.85943603515625","0.0"
"2017-07-01 15:00:00.000","0.0","0.0","0.0","0.0","0.0","13.741613388061523","0.0","0.0","0.0","273.05572509765625","0.0"
"2017-07-01 15:10:00.000","0.0","0.0","0.0","0.0","0.0","13.64135456085205","0.0","0.0","0.0","270.7157287597656","0.0"
"2017-07-01 15:20:00.000","0.0","0.0","0.0","0.0","0.0","11.70235824584961","0.0","0.0","0.0","275.9804992675781","0.0"
"2017-07-01 15:30:00.000","0.0","0.0","0.0","0.0","0.0","13.29535961151123","0.0","0.0","0.0","281.7481689453125","0.0"
"2017-07-01 15:40:00.000","0.0","0.0","0.0","0.0","0.0","13.51992416381836","0.0","0.0","0.0","269.7255554199219","0.0"
"2017-07-01 15:50:00.000","0.0","0.0","0.0","0.0","0.0","16.99457550048828","0.0","0.0","0.0","0.28719478845596313","0.0"
"2017-07-01 16:00:00.000","0.0","0.0","0.0","0.0","0.0","12.320318222045898","0.0","0.0","0.0","326.6117248535156","0.0"
"2017-07-01 16:10:00.000","0.0","0.0","0.0","0.0","0.0","12.304183959960938","0.0","0.0","0.0","263.9403076171875","0.0"
"2017-07-01 16:20:00.000","0.0","0.0","0.0","0.0","0.0","12.023344039916992","0.0","0.0","0.0","301.0912780761719","0.0"
"2017-07-01 16:30:00.000","0.0","0.0","0.0","0.0","0.0","13.704113006591797","0.0","0.0","0.0","270.62640380859375","0.0"
"2017-07-01 16:40:00.000","0.0","0.0","0.0","0.0","0.0","14.855356216430664","0.0","0.0","0.0","259.251953125","0.0"
"2017-07-01 16:50:00.000","0.0","0.0","0.0","0.0","0.0","13.247540473937988","0.0","0.0","0.0","255.7295684814453","0.0"
"2017-07-01 17:00:00.000","0.0","0.0","0.0","0.0","0.0","12.747941970825195","0.0","0.0","0.0","265.8817443847656","0.0"
"2017-07-01 17:10:00.000","0.0","0.0","0.0","0.0","0.0","11.469606399536133","0.0","0.0","0.0","277.120849609375","0.0"
"2017-07-01 17:20:00.000","0.0","0.0","0.0","0.0","0.0","12.662294387817383","0.0","0.0","0.0","283.2716979980469","0.0"
"2017-07-01 17:30:00.000","0.0","0.0","0.0","0.0","0.0","15.839963912963867","0.0","0.0","0.0","273.7604064941406","0.0"
"2017-07-01 17:40:00.000","0.0","0.0","0.0","0.0","0.0","14.316821098327637","0.0","0.0","0.0","276.8951721191406","0.0"
"2017-07-01 17:50:00.000","0.0","0.0","0.0","0.0","0.0","12.694355010986328","0.0","0.0","0.0","272.0294189453125","0.0"
"2017-07-01 18:00:00.000","0.0","0.0","0.0","0.0","0.0","15.055389404296875","0.0","0.0","0.0","261.7996520996094","0.0"
